x,y
0,127.77818269360836
1,138.06951312180124
2,174.8128834951842
3,229.8419421905162
4,252.1929368456984
5,252.5681958918428
6,252.58755449342965
7,252.4177944487452
8,253.5123
9,253.04099250752097
10,252.4840604311001
11,252.83251525966287
12,252.53171237346768
13,252.00232907622808
14,252.4177944487452
15,252.82432508206844
16,252.13262735613927
17,251.5213422829556
18,252.46470182951327
19,252.2956863464283
20,252.02019855461592
21,252.27037125204563
22,250.02700715277305
23,248.44332463065135
24,248.81039349920133
25,249.6502589834296
26,251.42678295981997
27,252.5183102646768
28,252.49522885509245
29,253.23308940019007
30,252.0380680330037
31,251.425293836621
32,251.03812180488455
33,252.88910194122437
34,252.1333719177388
35,252.73646681332824
36,252.5719186998403
37,252.53394605826617
38,250.20570193665137
39,248.39269444188577
40,251.03514355848665
41,253.1109812978731
42,253.30680099854
43,253.1593778018402
44,249.10300620780208
45,245.167253592882
46,241.90384010230363
47,240.95229037815164
48,243.20607833981725
49,250.06497979434712
50,245.89915764518352
51,243.19044254622784
52,242.749662079328
53,247.2505369482634
54,250.19974544385536
55,251.3299899518858
56,239.5904872126794
57,209.211629391763
58,190.8053220906952
59,153.48863928570316
60,147.910383782301
61,147.9922855582452
62,147.28197379232887
63,146.92309510137318
64,145.21693219613488
65,143.11689620476474
66,141.28304098521335
67,139.8787978085694
68,138.64431467660984
69,135.65192160824742
70,137.4143666016656
71,138.9826840798705
72,140.01430801967717
73,141.08498759974822
74,141.27261712282046
75,138.41052233436895
76,135.18359236216625
77,138.37776162399152
78,140.6404843248508
79,142.41924198603974
80,143.17199376312723
81,144.37669443110687
82,142.38945952206
83,139.48343559923865
84,138.49763604150982
85,138.16481700653645
86,138.01664924823734
87,138.40382127997373
88,137.5401298245618
89,137.3971739974592
90,138.76121084773038
91,138.57730413265566
92,129.15487709107094
93,131.4481268175096
94,141.02765635658736
95,147.93569887668437
96,150.1150306784
97,139.07764952751492
98,140.52209903053145
99,136.03388170878733
100,137.46269541821448
101,142.81088138737306
102,144.55985658458223
103,142.10578155265318
104,138.16258332173786
105,137.71808004684058
106,137.28846800393313
107,138.43211462075445
108,139.54523421199653
109,139.6225031602106
110,139.46407699765183
111,140.08020172123233
112,141.6188382665847
113,137.90198676191542
114,136.56326500602685
115,141.28914639032914
116,147.1583765668131
117,147.24474571235444
118,139.225817285814
119,137.87890535233106
120,139.1320025242779
121,138.6383581838141
122,139.55491351278997
123,139.87805324696998
124,140.72685347039203
125,140.9613903742324
126,134.93490878793563
127,123.36591065501268
128,114.13409138289828
129,93.1158619908088
130,90.27610405034258
131,83.65173949965265
132,93.50675683054268
133,103.28136150868738
134,104.95215773795049
135,96.86621876745434
136,94.02646082698875
137,93.36305644184048
138,93.50228946094572
139,94.44415988430453
140,94.0924289847039
141,93.69349287969553
142,93.27209583310248
143,92.24522129380162
144,91.2183467545008
145,87.4810198058455
146,84.55116991184023
147,94.12102015012448
148,100.23163719716374
149,111.2451923768653
150,103.61641422845946
151,94.4821325258786
152,94.83431016243884
153,94.95641826475568
154,93.35821679144402
155,95.16415095101424
156,94.85366876402556
157,94.63662905777346
158,93.33319952170086
159,93.518036938775
160,93.70287435584916
161,93.8877117729233
162,72.15943121147768
163,83.42464821180751
164,99.8913725461959
165,108.9124808856534
166,104.87397877000303
167,99.5126566069106
168,97.13617553024297
169,95.26243308214742
170,95.56366143211366
171,94.74868557849712
172,94.1545254221015
173,94.17090577729056
174,94.60349606659594
175,95.57961632353138
176,94.11953102692551
177,92.62668501994192
178,82.55797850999716
179,91.98785116757676
180,102.92397194093084
181,105.62747510869008
182,97.17694914164352
183,94.35842893441996
184,93.71002214720428
185,93.54472947211688
186,93.0868240884286
187,95.3167860789103
188,93.12777497640076
189,93.91272904266631
190,93.29455677468717
191,94.95641826475568
192,93.27892098109784
193,92.49340849363269
194,83.71875004360724
195,78.55223710472521
196,87.66790476731829
197,97.5705740405758
198,114.25545492361547
199,96.52520955488754
200,92.24398035780314
201,89.59557474840517
202,87.09310321250965
203,82.78023014744609
204,78.46735708238256
205,85.36497574008658
206,94.00635766380292
207,106.84408876226188
208,105.78830041418078
209,90.88850596592548
210,92.4010828552955
211,91.34827275361236
212,90.91866071070488
213,91.21722991210156
214,91.30583274244124
215,91.70113767780283
216,91.51156083977808
217,91.63269528461868
218,91.05714916821046
219,90.40416864545514
220,91.62897247662124
221,88.68274222742731
222,84.69263661574385
223,87.33091618738773
224,91.20978429610672
225,95.5059047251815
226,94.24238369084163
227,85.19223744899818
228,70.85719297396534
229,80.77475347921214
230,94.87526105041118
231,111.08138882497698
232,99.7714981286774
233,92.2834421225756
234,91.270838347265
235,90.59626553812429
236,89.75211882469901
237,91.48750577271784
238,91.84042797087724
239,89.27615782222287
240,87.47804155944749
241,89.29849467020799
242,91.12564883536402
243,92.73166820547024
244,91.23146965269186
245,91.0973554945831
246,90.07581698007871
247,88.70880188340979
248,83.20798078635787
249,81.55430947387987
250,82.56021219479597
251,101.25689851966608
252,102.8636624513718
253,92.39884917049696
254,91.84042797087724
255,91.44506576154632
256,91.21722991210156
257,91.84042797087724
258,91.84042797087724
259,91.84042797087724
260,90.67965643726752
261,88.61051975227649
262,89.75193268429908
263,91.22963927209312
264,92.06156276592654
265,90.6230697557061
266,86.52798095849451
267,81.47389682113547
268,82.33386546854976
269,90.80176453958444
270,100.5383965761551
271,97.61673685974463
272,92.78974401023088
273,91.9632806347936
274,90.87249789153626
275,90.95936341147711
276,90.01327380572133
277,89.94254045376945
278,90.19271315119911
279,90.80176453958444
280,89.69015877569134
281,87.74194928533198
282,93.24815490232616
283,90.09786589666098
284,91.74710751471092
285,98.87472083472272
286,96.74481177158148
287,89.55876353998678
288,90.4095367229796
289,86.70204032324108
290,87.21227974959963
291,86.23612362009102
292,83.0766415110452
293,82.9892077097969
294,85.67314471653464
295,89.9759740204951
296,91.20168817750309
297,91.10409699895273
298,91.9653071772924
299,91.57234393773982
300,94.60043671395054
301,99.11681539588268
302,96.56831202442474
303,91.5209195285483
304,89.31522586784273
305,89.55826677453463
306,89.81774249045318
307,88.65320291786567
308,83.169429294331
309,82.84010988907305
310,89.2422807846902
311,87.56731841856482
312,91.1683493985447
313,87.76655574621188
314,88.90841254875383
315,90.00950991726954
316,89.41827962258051
317,86.96840573298569
318,82.42867474591188
319,86.89559709541774
320,86.55167848040627
321,90.09614386117369
322,89.955073741825
323,92.33786181510165
324,90.5682860883572
325,89.08071592096371
326,93.64021928896784
327,96.1282336204698
328,94.66695604884804
329,93.51145911769872
330,91.30207297666573
331,91.08665337228136
332,87.38113322766867
333,86.44430244582894
334,87.70426074434843
335,86.67874799692144
336,89.04732517028194
337,90.37948242699308
338,88.61070648222643
339,88.42825155206991
340,91.63293899507391
341,92.95278731987982
342,91.99111139140533
343,99.0497529116333
344,95.66360127453662
345,90.50231651089491
346,91.34614936354474
347,92.1600776382895
348,92.42140704635756
349,90.5188624525539
350,81.42235575221133
351,84.18386501421324
352,90.94642529268476
353,90.13157744847491
354,90.60500385771638
355,87.48899977082733
356,89.85259979457703
357,91.86494014744603
358,97.61770757135336
359,95.47166012641718
360,96.19353659703572
361,90.43175109237978
362,91.87667043707286
363,90.61645956899088
364,87.86787128546649
365,87.83613298669982
366,84.76971728268282
367,84.0032495422253
368,89.31521222474525
369,91.8277442311413
